3,Fiery Royal Crispy Wrap,$2.99,390 cal
3,Honey Mustard Royal Crispy Wrap,$2.99,290 cal
3,Have-sies™,$3.09,380 cal
3,French Fries,$3.09,370 cal
3,Onion Rings,$3.09,360 cal
3,12 Pc. Chicken Fries,$5.09,340 cal
3,8 Pc. Chicken Fries,$3.69,220 cal
3,12 Pc. Mozzarella Fries,$4.99,730 cal
3,8 Pc. Mozzarella Fries,$3.89,480 cal
3,4 Pc. Mozzarella Fries,$1.99,240 cal
3,8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal
3,4 Pc. Chicken Fries,$2.09,110 cal
3,16 Pc. Chicken Nuggets,$4.59,770 cal
3,8 Pc. Chicken Nuggets,$2.49,390 cal
3,4 Pc. Chicken Nuggets,$1.59,190 cal
3,MOTTS Applesauce,$1.79,50 cal
3,Coca-Cola,$2.29,350 cal
3,Diet Coke,$2.29,0 cal
3,Shakes,$3.59,640 cal
3,Dr Pepper®,$2.29,350 cal
3,Sprite,$2.29,330 cal
3,Sweetened Iced Tea,$2.29,160 cal
3,Unsweetened Iced Tea,$2.29,0 cal
3,Honest Kids® Apple Juice Drink,$1.69,35 cal
3,Pure Life® Purified Water,$1.99,0 cal
3,BK Café,$1.79,0 cal
3,BK Café Decaf,$1.79,0 cal
3,Frozen Coke®,$1.79,160 cal
3,BK Café Iced Coffee,$1.79,200 cal
3,Fat Free Milk,$1.89,90 cal
3,Simply® Orange Juice,$2.29,160 cal
3,Birthday Pie Slice,$2.49,270 cal
3,HERSHEY'S® Sundae Pie,$2.49,310 cal
3,Classic Oreo® Shake,$3.59,640 cal
3,Chocolate Oreo® Shake,$3.59,670 cal
3,Chocolate Shake,$3.39,590 cal
3,Vanilla Shake,$3.39,560 cal
3,Soft Serve Cup,$1.10,180 cal
3,Soft Serve Cone,$1.10,200 cal
3,2 Chocolate Chip Cookies,$1.20,320 cal
3,Double Cheeseburger King Jr. Meal,$4.89,450 - 1,047 cal
3,Cheeseburger King Jr. Meal,$4.09,340 - 937 cal
3,4 Pc. Chicken Nuggets King Jr. Meal,$4.29,240 - 837 cal
3,6 Pc. Chicken Nuggets King Jr. Meal,$4.79,340 - 937 cal
3,Hamburger King Jr. Meal,$3.99,300 - 897 cal
3,BBQ Dipping Sauce,$0.30,50 cal
3,Buffalo Dipping Sauce,$0.30,82 cal
3,Honey Mustard Dipping Sauce,$0.30,89 cal
3,Ranch Dipping Sauce,$0.30,135 cal
3,Sweet & Sour Dipping Sauce,$0.30,46 cal
3,Zesty Dipping Sauce,$0.30,152 cal
